Record Length,2250,,Source,CH1
Sample Interval,CH1:0.0000000040000,,Second,Volt
Vertical Units,CH1:V,,-0.00000450000,-1.04000,
Vertical Scale,CH1:2.00,,-0.00000449600,-1.04000,
Vertical Offset,CH1:-0.08000,,-0.00000449200,-1.12000,
Horizontal Units,s,,-0.00000448800,-0.96000,
Horizontal Scale,0.0000005000,,-0.00000448400,-0.88000,
Model Number,ADS-3072B,,-0.00000448000,-0.72000,
Serial Number,NEU00004121681,,-0.00000447600,-0.48000,
Software Version,5.01.02.13,,-0.00000447200,-0.40000,
,,,-0.00000281600,0.16000,
,,,-0.00000281200,0.16000,
,,,-0.00000280800,0.16000,
,,,-0.00000280400,0.24000,
,,,-0.00000280000,0.16000,
,,,-0.00000279600,0.24000,
,,,-0.00000279200,0.16000,
,,,-0.00000278800,0.16000,
,,,-0.00000278400,0.08000,
,,,-0.00000278000,0.08000,
,,,-0.00000277600,0.08000,
,,,-0.00000277200,0.08000,
,,,-0.00000276800,0.08000,
,,,-0.00000276400,0.08000,
,,,-0.00000276000,0.08000,
,,,-0.00000275600,0.00,
,,,-0.00000275200,0.00,
,,,-0.00000274800,0.00,
,,,-0.00000274400,0.08000,
,,,-0.00000274000,0.00,
,,,-0.00000273600,0.00,
,,,-0.00000273200,0.00,
,,,-0.00000272800,0.00,
,,,-0.00000272400,0.08000,
,,,-0.00000272000,0.00,
,,,-0.00000271600,0.08000,
,,,-0.00000271200,0.08000,
,,,-0.00000270800,0.16000,
,,,-0.00000270400,0.16000,
,,,-0.00000270000,0.08000,
,,,-0.00000269600,0.08000,
,,,-0.00000269200,0.16000,
,,,-0.00000268800,0.08000,
,,,-0.00000268400,0.16000,
,,,-0.00000268000,0.08000,
,,,-0.00000267600,0.08000,
,,,-0.00000267200,0.08000,
,,,-0.00000266800,0.08000,
,,,-0.00000266400,0.16000,
,,,-0.00000266000,0.16000,
,,,-0.00000265600,0.08000,
,,,-0.00000265200,0.16000,
,,,-0.00000264800,0.08000,
,,,-0.00000264400,0.16000,
,,,-0.00000264000,0.08000,
,,,-0.00000263600,0.16000,
,,,-0.00000263200,0.16000,
,,,-0.00000262800,0.00,
,,,-0.00000262400,0.08000,
,,,-0.00000262000,0.08000,
,,,-0.00000261600,0.16000,
,,,-0.00000261200,0.08000,
,,,-0.00000260800,0.08000,
,,,-0.00000260400,0.16000,
,,,-0.00000260000,0.08000,
,,,-0.00000259600,0.16000,
,,,-0.00000259200,0.16000,
,,,-0.00000258800,0.16000,
,,,-0.00000258400,0.32000,
,,,-0.00000258000,0.16000,
,,,-0.00000257600,0.32000,
,,,-0.00000257200,0.24000,
,,,-0.00000256800,0.16000,
,,,-0.00000256400,0.24000,
,,,-0.00000256000,0.16000,
,,,-0.00000255600,0.16000,
,,,-0.00000255200,0.08000,
,,,-0.00000254800,0.08000,
,,,-0.00000254400,0.08000,
,,,-0.00000254000,0.08000,
,,,-0.00000253600,0.00,
,,,-0.00000253200,0.00,
,,,-0.00000252800,0.00,
,,,-0.00000252400,0.08000,
,,,-0.00000252000,0.08000,
,,,-0.00000251600,0.08000,
,,,-0.00000251200,0.08000,
,,,-0.00000250800,0.08000,
,,,-0.00000250400,0.16000,
,,,-0.00000250000,0.16000,
,,,-0.00000249600,0.16000,
,,,-0.00000249200,0.16000,
,,,-0.00000248800,0.16000,
,,,-0.00000248400,0.16000,
,,,-0.00000248000,0.08000,
,,,-0.00000247600,0.16000,
,,,-0.00000247200,0.16000,
,,,-0.00000246800,0.08000,
,,,-0.00000246400,0.08000,
,,,-0.00000246000,0.08000,
,,,-0.00000245600,0.08000,
,,,-0.00000245200,0.00,
,,,-0.00000244800,0.00,
,,,-0.00000244400,0.08000,
,,,-0.00000244000,0.08000,
,,,-0.00000243600,0.08000,
,,,-0.00000243200,0.08000,
,,,-0.00000242800,0.16000,
,,,-0.00000242400,0.16000,
,,,-0.00000242000,0.08000,
,,,-0.00000241600,0.16000,
,,,-0.00000241200,0.16000,
,,,-0.00000240800,0.08000,
,,,-0.00000240400,0.16000,
,,,-0.00000240000,0.08000,
,,,-0.00000239600,0.16000,
,,,-0.00000239200,0.08000,
,,,-0.00000238800,0.08000,
,,,-0.00000238400,0.08000,
,,,-0.00000238000,0.08000,
,,,-0.00000237600,0.08000,
,,,-0.00000237200,0.08000,
,,,-0.00000236800,0.00,
,,,-0.00000236400,0.08000,
,,,-0.00000236000,0.08000,
,,,-0.00000235600,0.00,
,,,-0.00000235200,0.08000,
,,,-0.00000234800,0.00,
